total_lines,num_functions,num_classes,num_imports,avg_func_length,max_func_length,avg_complexity,max_complexity,high_complexity_fns,maintainability,lines_per_function,num_nodes,num_edges,avg_degree,max_degree,graph_density,avg_shortest_path,clustering_coeff,deep_nesting_count,is_buggy,source,path
771,28,2,15,22.714285714285715,111,4.2,16,1,36.62,27.535714285714285,31,58,3.742,21,0.0624,2.335,0.533,0,1,requests,requests/sessions.py
978,39,0,21,20.435897435897434,58,4.56,18,4,27.52,25.076923076923077,40,14,0.7,6,0.009,2.111,0.0,0,1,requests,requests/utils.py
310,14,0,5,24.5,62,4.38,6,0,50.35,22.142857142857142,13,0,0.0,0,0.0,0.0,0.0,0,1,requests,tests/test_lowlevel.py
2528,243,15,25,7.54320987654321,41,2.9,8,0,0.0,10.40329218106996,242,269,2.223,170,0.0046,2.77,0.023,0,1,requests,tests/test_requests.py
783,65,15,15,3.3076923076923075,38,2.37,6,0,23.38,12.046153846153846,73,61,1.671,15,0.0116,3.131,0.0,0,1,requests,tests/test_utils.py
2519,242,15,24,7.520661157024794,41,2.9,8,0,0.0,10.409090909090908,241,268,2.224,170,0.0046,2.752,0.023,0,1,requests,tests/test_requests.py
2519,242,15,24,7.520661157024794,41,2.9,8,0,0.0,10.409090909090908,241,268,2.224,170,0.0046,2.752,0.023,0,1,requests,tests/test_requests.py
954,44,5,18,17.15909090909091,84,4.56,24,5,21.27,21.681818181818183,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,requests/models.py
15,0,0,0,0.0,0,0.0,0,0,100.0,15.0,1,0,0.0,0,0.0,0.0,0.0,0,1,requests,requests/__version__.py
109,3,1,8,4.333333333333333,6,1.5,2,0,63.71,36.333333333333336,5,4,1.6,4,0.2,1.6,0.0,0,1,requests,setup.py
547,49,4,7,7.530612244897959,32,2.38,9,0,39.42,11.16326530612245,53,87,3.283,27,0.0316,2.92,0.405,0,1,requests,requests/cookies.py
121,2,0,1,8.0,14,6.0,6,0,83.81,60.5,3,1,0.667,1,0.1667,1.0,0.0,0,1,requests,requests/status_codes.py
742,27,2,15,22.555555555555557,111,4.0,16,1,39.01,27.48148148148148,30,55,3.667,21,0.0632,2.336,0.555,0,1,requests,requests/sessions.py
104,3,1,8,4.333333333333333,6,1.5,2,0,64.46,34.666666666666664,5,4,1.6,4,0.2,1.6,0.0,0,1,requests,setup.py
953,44,5,19,17.227272727272727,84,4.56,24,5,21.2,21.65909090909091,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,requests/models.py
103,3,1,8,4.333333333333333,6,1.5,2,0,64.53,34.333333333333336,5,4,1.6,4,0.2,1.6,0.0,0,1,requests,setup.py
294,17,4,11,13.352941176470589,88,2.84,17,1,48.04,17.294117647058822,16,22,2.75,9,0.0917,1.956,0.178,0,1,requests,requests/auth.py
976,39,0,22,20.41025641025641,58,4.54,17,4,27.76,25.025641025641026,40,14,0.7,6,0.009,2.111,0.0,0,1,requests,requests/utils.py
2449,233,14,24,7.652360515021459,41,2.9,8,0,0.0,10.510729613733906,231,257,2.225,162,0.0048,2.761,0.024,0,1,requests,tests/test_requests.py
153,8,0,1,14.375,42,1.0,1,0,100.0,19.125,9,7,1.556,7,0.0972,1.75,0.0,0,1,requests,requests/api.py
158,8,0,1,15.25,45,1.0,1,0,100.0,19.75,9,7,1.556,7,0.0972,1.75,0.0,0,0,requests,src/requests/api.py
87,0,1,2,0.0,0,1.0,1,0,100.0,87.0,2,1,1.0,1,0.5,1.0,0.0,0,0,requests,docs/_themes/flask_theme_support.py
184,2,0,16,21.5,32,6.5,10,0,71.21,92.0,3,0,0.0,0,0.0,0.0,0.0,0,0,requests,src/requests/__init__.py
177,14,2,4,9.928571428571429,30,2.2,4,0,52.35,12.642857142857142,15,23,3.067,12,0.1095,2.181,0.374,0,0,requests,tests/testserver/server.py
387,0,0,3,0.0,0,0.0,0,0,100.0,387.0,1,0,0.0,0,0.0,0.0,0.0,0,0,requests,docs/conf.py
315,19,4,11,13.526315789473685,108,2.95,19,1,47.35,16.57894736842105,18,22,2.444,9,0.0719,1.956,0.158,0,0,requests,src/requests/auth.py
699,20,2,16,27.25,106,3.73,19,2,47.52,34.95,20,33,3.3,16,0.0868,2.026,0.473,0,0,requests,src/requests/adapters.py
19,0,0,1,0.0,0,0.0,0,0,64.36,19.0,1,0,0.0,0,0.0,0.0,0.0,0,0,requests,src/requests/certs.py
18,1,0,2,11.0,11,3.0,3,0,69.2,18.0,2,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/utils.py
166,12,1,6,10.75,20,2.42,4,0,49.21,13.833333333333334,14,12,1.714,12,0.0659,1.846,0.0,0,0,requests,tests/test_testserver.py
23,3,0,2,1.0,1,1.67,2,0,67.29,7.666666666666667,4,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/test_hooks.py
132,3,0,12,29.0,56,4.33,6,0,59.65,44.0,4,2,1.0,2,0.1667,1.333,0.0,0,0,requests,src/requests/help.py
14,3,0,1,1.0,1,1.0,1,0,100.0,4.666666666666667,4,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/test_packages.py
52,2,0,2,11.0,12,2.5,3,0,100.0,26.0,3,0,0.0,0,0.0,0.0,0.0,0,0,requests,src/requests/_internal_utils.py
35,2,0,0,6.0,11,4.0,6,0,93.0,17.5,3,0,0.0,0,0.0,0.0,0.0,0,0,requests,src/requests/hooks.py
